dataset_id,method,epsilon,E_mu,std_mu,E_sig2,std_sig2,acc_rate,time_s,gibbs_E_mu,gibbs_E_sig2,bias_mu,bias_sig2
0,abc,0.20000000,-0.00849977,0.01513780,0.10080957,0.02158534,0.01681847,187.60633220,-0.00292711,0.08985845,0.00557266,0.01095112
0,abc,0.40000000,-0.02267191,0.02782827,0.12808678,0.03798527,0.04156868,187.44256250,-0.00292711,0.08985845,0.01974480,0.03822833
0,abc,0.60000000,-0.04025603,0.04023670,0.16191575,0.05341276,0.06569221,187.54277190,-0.00292711,0.08985845,0.03732892,0.07205730
0,abc,0.80000000,-0.05886261,0.05239619,0.19591671,0.06912824,0.09317077,187.58493320,-0.00292711,0.08985845,0.05593550,0.10605826
0,abc,1.00000000,-0.07860512,0.06540330,0.23152061,0.08565057,0.11954099,187.66670530,-0.00292711,0.08985845,0.07567800,0.14166216
0,abc,1.20000000,-0.10003829,0.07936119,0.27078202,0.10630274,0.14683954,187.52602020,-0.00292711,0.08985845,0.09711118,0.18092357
0,abc,1.50000000,-0.12651919,0.10113048,0.31895563,0.13490357,0.18971157,187.31483440,-0.00292711,0.08985845,0.12359208,0.22909718
0,abc,2.00000000,-0.18042569,0.13726427,0.41140079,0.18627362,0.26265553,187.36510430,-0.00292711,0.08985845,0.17749858,0.32154234
0,abc,5.00000000,-0.44422129,0.37224478,0.77745068,0.50186223,0.54284614,187.52642680,-0.00292711,0.08985845,0.44129418,0.68759223
1,abc,0.40000000,-0.01759266,0.02820016,0.13236140,0.03869314,0.04097201,187.23795290,0.00184594,0.09476312,0.01943860,0.03759828
1,abc,0.60000000,-0.03390314,0.03991429,0.16328369,0.05417627,0.06614888,187.25464090,0.00184594,0.09476312,0.03574908,0.06852058
1,abc,0.80000000,-0.05287232,0.05258755,0.20097239,0.06963862,0.09140410,187.78846760,0.00184594,0.09476312,0.05471825,0.10620928
1,abc,1.00000000,-0.07232903,0.06709122,0.23463784,0.08816040,0.12030766,187.37561810,0.00184594,0.09476312,0.07417497,0.13987473
1,abc,1.20000000,-0.09118674,0.08038824,0.26678711,0.10791429,0.14827958,187.91323360,0.00184594,0.09476312,0.09303268,0.17202400
1,abc,1.50000000,-0.12397934,0.10007497,0.32463565,0.13571253,0.19104823,187.17130410,0.00184594,0.09476312,0.12582528,0.22987254
1,abc,2.00000000,-0.17419374,0.13905628,0.41055390,0.19011351,0.26021212,187.38229920,0.00184594,0.09476312,0.17603968,0.31579079
1,abc,5.00000000,-0.42916027,0.36901113,0.77264011,0.50010365,0.54331785,186.20351920,0.00184594,0.09476312,0.43100621,0.67787699
2,abc,0.20000000,-0.01042549,0.01527885,0.10219456,0.02134522,0.01634680,187.81806900,-0.00351806,0.09017080,0.00690742,0.01202375
2,abc,0.40000000,-0.02326753,0.02851791,0.12771532,0.03855231,0.04195701,187.93216840,-0.00351806,0.09017080,0.01974947,0.03754452
2,abc,0.60000000,-0.04097062,0.04077210,0.16096237,0.05346523,0.06609721,187.72935840,-0.00351806,0.09017080,0.03745255,0.07079157
2,abc,0.80000000,-0.06090606,0.05298903,0.19805908,0.06896839,0.09189077,187.92966850,-0.00351806,0.09017080,0.05738800,0.10788828
2,abc,1.00000000,-0.08123893,0.06696805,0.23385225,0.08772049,0.11943933,187.37837530,-0.00351806,0.09017080,0.07772087,0.14368145
2,abc,1.20000000,-0.10216126,0.07908150,0.26857984,0.10656129,0.14761457,187.44838190,-0.00351806,0.09017080,0.09864319,0.17840904
2,abc,1.50000000,-0.12824011,0.10275400,0.32093012,0.13530169,0.18978158,187.38848130,-0.00351806,0.09017080,0.12472204,0.23075932
2,abc,2.00000000,-0.17839338,0.14093894,0.40816298,0.18911602,0.26207548,187.33820770,-0.00351806,0.09017080,0.17487531,0.31799218
2,abc,5.00000000,-0.44087076,0.37807810,0.77960491,0.50440216,0.54364121,187.27332980,-0.00351806,0.09017080,0.43735270,0.68943411
3,abc,0.20000000,-0.01176128,0.01527863,0.10686116,0.02183365,0.01614680,187.39903890,-0.00618148,0.09752914,0.00557981,0.00933202
3,abc,0.40000000,-0.02536419,0.02919690,0.13286844,0.03973632,0.04162534,187.76055820,-0.00618148,0.09752914,0.01918271,0.03533930
3,abc,0.60000000,-0.04319521,0.04183624,0.16618086,0.05466285,0.06672722,185.03908070,-0.00618148,0.09752914,0.03701373,0.06865172
3,abc,0.80000000,-0.06148130,0.05498087,0.20049377,0.07108356,0.09455912,186.77090730,-0.00618148,0.09752914,0.05529982,0.10296462
3,abc,1.00000000,-0.08134791,0.06780090,0.23530899,0.08966026,0.12176935,186.42904790,-0.00618148,0.09752914,0.07516644,0.13777985
3,abc,1.20000000,-0.10261890,0.08160425,0.27374244,0.10693612,0.14876290,186.96865750,-0.00618148,0.09752914,0.09643742,0.17621329
3,abc,1.50000000,-0.13249263,0.10224431,0.32720116,0.13716917,0.19167492,187.76234800,-0.00618148,0.09752914,0.12631116,0.22967201
3,abc,2.00000000,-0.18613213,0.14010248,0.41345537,0.19149901,0.26295552,187.84989230,-0.00618148,0.09752914,0.17995066,0.31592622
3,abc,5.00000000,-0.43581611,0.37368885,0.76595896,0.49544257,0.54288614,187.77699780,-0.00618148,0.09752914,0.42963463,0.66842982
4,abc,0.20000000,-0.00574987,0.01484882,0.09704027,0.02085914,0.01655514,187.63182550,0.00002736,0.08579344,0.00577723,0.01124683
4,abc,0.40000000,-0.01928240,0.02760612,0.12279049,0.03683624,0.04132201,187.54218740,0.00002736,0.08579344,0.01930976,0.03699705
4,abc,0.60000000,-0.03860300,0.04005207,0.15785752,0.05080179,0.06545554,187.39517950,0.00002736,0.08579344,0.03863036,0.07206408
4,abc,0.80000000,-0.05607240,0.05207796,0.19022022,0.06702278,0.09151743,186.32278620,0.00002736,0.08579344,0.05609976,0.10442678
4,abc,1.00000000,-0.07824174,0.06528175,0.22914048,0.08451712,0.11832931,187.38535990,0.00002736,0.08579344,0.07826909,0.14334703
4,abc,1.20000000,-0.09664679,0.07845087,0.26508528,0.10210055,0.14596620,186.39245400,0.00002736,0.08579344,0.09667415,0.17929184
4,abc,1.50000000,-0.12677842,0.10053081,0.31785330,0.13319376,0.18897323,187.57865020,0.00002736,0.08579344,0.12680578,0.23205986
4,abc,2.00000000,-0.17709710,0.13624653,0.40590176,0.18335582,0.25972384,187.35219080,0.00002736,0.08579344,0.17712445,0.32010832
4,abc,5.00000000,-0.43815586,0.37329677,0.76160419,0.49293253,0.54162109,187.26855070,0.00002736,0.08579344,0.43818322,0.67581075
5,abc,0.20000000,-0.00892908,0.01494022,0.10047121,0.02119100,0.01674681,187.70042850,-0.00428557,0.09057815,0.00464351,0.00989306
5,abc,0.40000000,-0.02294822,0.02776808,0.12715815,0.03829354,0.04181868,187.83337150,-0.00428557,0.09057815,0.01866266,0.03658000
5,abc,0.60000000,-0.04126015,0.04016960,0.16026668,0.05355152,0.06584221,187.40452440,-0.00428557,0.09057815,0.03697458,0.06968853
5,abc,0.80000000,-0.05924192,0.05245870,0.19558670,0.06882685,0.09232910,185.59100870,-0.00428557,0.09057815,0.05495635,0.10500854
5,abc,1.00000000,-0.07917070,0.06529189,0.23293462,0.08587268,0.11921599,187.85458780,-0.00428557,0.09057815,0.07488514,0.14235647
5,abc,1.20000000,-0.09815767,0.08008604,0.26646456,0.10637973,0.14779289,187.57772840,-0.00428557,0.09057815,0.09387210,0.17588641
5,abc,1.50000000,-0.12854609,0.10092407,0.32048866,0.13408872,0.19130158,187.82555420,-0.00428557,0.09057815,0.12426052,0.22991051
5,abc,2.00000000,-0.18031909,0.13664992,0.40794352,0.18575341,0.26152050,187.45778050,-0.00428557,0.09057815,0.17603352,0.31736536
5,abc,5.00000000,-0.43604180,0.37887815,0.77125531,0.50158727,0.54300618,187.80631500,-0.00428557,0.09057815,0.43175624,0.68067716
6,abc,0.20000000,-0.00930817,0.01508554,0.10129840,0.02179150,0.01682014,187.49558560,-0.00453420,0.09124845,0.00477397,0.01004995
6,abc,0.40000000,-0.02296888,0.02741661,0.12813666,0.03802466,0.04186368,187.05180910,-0.00453420,0.09124845,0.01843468,0.03688821
6,abc,0.60000000,-0.04092433,0.04002041,0.16014080,0.05296193,0.06686389,187.64933450,-0.00453420,0.09124845,0.03639013,0.06889234
6,abc,0.80000000,-0.05935007,0.05274789,0.19568840,0.06943159,0.09292410,187.18832670,-0.00453420,0.09124845,0.05481587,0.10443994
6,abc,1.00000000,-0.07738560,0.06607550,0.22928022,0.08709802,0.12029600,187.66602040,-0.00453420,0.09124845,0.07285141,0.13803177
6,abc,1.20000000,-0.09787257,0.07988407,0.26720327,0.10562795,0.14883624,187.25323190,-0.00453420,0.09124845,0.09333837,0.17595482
6,abc,1.50000000,-0.12982608,0.10133592,0.32090095,0.13423018,0.19075325,187.57828740,-0.00453420,0.09124845,0.12529188,0.22965249
6,abc,2.00000000,-0.18167722,0.13822325,0.40917712,0.18602994,0.26181549,187.35488050,-0.00453420,0.09124845,0.17714302,0.31792867
6,abc,5.00000000,-0.43975601,0.37319705,0.75994951,0.49550360,0.54357117,187.62773850,-0.00453420,0.09124845,0.43522181,0.66870105
7,abc,0.20000000,-0.00512847,0.01510050,0.10143143,0.02144950,0.01655847,187.09341820,0.00104160,0.08951682,0.00617007,0.01191461
7,abc,0.40000000,-0.01852878,0.02759462,0.12738338,0.03754427,0.04114701,187.80176520,0.00104160,0.08951682,0.01957038,0.03786656
7,abc,0.60000000,-0.03555607,0.04001896,0.15935044,0.05299791,0.06589388,186.20730110,0.00104160,0.08951682,0.03659767,0.06983362
7,abc,0.80000000,-0.05365098,0.05216911,0.19541752,0.06834359,0.09158076,185.39049620,0.00104160,0.08951682,0.05469258,0.10590070
7,abc,1.00000000,-0.07395162,0.06618843,0.22959729,0.08619948,0.11913265,185.30309500,0.00104160,0.08951682,0.07499322,0.14008047
7,abc,1.20000000,-0.09344578,0.07990321,0.26834473,0.10435320,0.14574620,185.10476020,0.00104160,0.08951682,0.09448738,0.17882791
7,abc,1.50000000,-0.12387732,0.10091577,0.31919459,0.13494886,0.18880990,185.25287960,0.00104160,0.08951682,0.12491892,0.22967777
7,abc,2.00000000,-0.17383707,0.13601282,0.40390405,0.18417521,0.26058382,185.33857060,0.00104160,0.08951682,0.17487867,0.31438723
7,abc,5.00000000,-0.43326953,0.36841229,0.75942767,0.48886877,0.54204953,185.41882910,0.00104160,0.08951682,0.43431113,0.66991085
8,abc,0.20000000,-0.00169359,0.01486731,0.10576601,0.02214752,0.01612180,185.49041160,0.00332510,0.09450498,0.00501869,0.01126103
8,abc,0.40000000,-0.01407121,0.02853192,0.13027431,0.03978235,0.04131367,185.50021700,0.00332510,0.09450498,0.01739631,0.03576933
8,abc,0.60000000,-0.03264491,0.03984547,0.16368836,0.05451116,0.06580721,185.83726280,0.00332510,0.09450498,0.03597001,0.06918338
8,abc,0.80000000,-0.05162869,0.05355220,0.20057482,0.07027775,0.09090243,185.08529850,0.00332510,0.09450498,0.05495379,0.10606983
8,abc,1.00000000,-0.06969494,0.06520917,0.23348933,0.08800697,0.11792598,185.51209620,0.00332510,0.09450498,0.07302004,0.13898435
8,abc,1.20000000,-0.09198776,0.07889885,0.26889703,0.10770120,0.14681455,185.57033720,0.00332510,0.09450498,0.09531286,0.17439204
8,abc,1.50000000,-0.11946199,0.10005697,0.32350484,0.13737896,0.18844824,185.24108330,0.00332510,0.09450498,0.12278709,0.22899985
8,abc,2.00000000,-0.17113072,0.13726851,0.40783155,0.18987289,0.25926882,185.77735310,0.00332510,0.09450498,0.17445582,0.31332657
8,abc,5.00000000,-0.42822647,0.37098902,0.77118719,0.49506146,0.54068786,185.36537580,0.00332510,0.09450498,0.43155157,0.67668220
9,abc,0.20000000,-0.00698911,0.01473651,0.09690326,0.02084365,0.01699181,185.38644600,-0.00062339,0.08510827,0.00636572,0.01179499
9,abc,0.40000000,-0.02043897,0.02752776,0.12279923,0.03680567,0.04167368,185.02387000,-0.00062339,0.08510827,0.01981558,0.03769097
9,abc,0.60000000,-0.03780443,0.03931288,0.15616739,0.05136193,0.06661222,184.97178060,-0.00062339,0.08510827,0.03718103,0.07105912
9,abc,0.80000000,-0.05773010,0.05162302,0.19127652,0.06712382,0.09108409,184.88057040,-0.00062339,0.08510827,0.05710671,0.10616826
9,abc,1.00000000,-0.07594460,0.06539462,0.22658144,0.08457902,0.11921432,185.50835310,-0.00062339,0.08510827,0.07532121,0.14147317
9,abc,1.20000000,-0.09750495,0.07814391,0.26234937,0.10130845,0.14664789,185.88166090,-0.00062339,0.08510827,0.09688156,0.17724110
